country,cumulative_co2
Afghanistan,192.849
Albania,285.503
Algeria,4587.132
Andorra,15.071
Angola,682.26
Anguilla,3.421
Antigua and Barbuda,21.527
Argentina,8431.213
Armenia,383.336
Aruba,75.921
Australia,18635.75
Austria,5505.509
Azerbaijan,2503.756
Bahamas,169.519
Bahrain,926.303
Bangladesh,1562.306
Barbados,54.875
Belarus,4907.842
Belgium,12543.142
Belize,19.063
Benin,111.665
Bermuda,29.205
Bhutan,19.193
Bolivia,530.155
Bonaire Sint Eustatius and Saba,30.354
Bosnia and Herzegovina,954.784
Botswana,150.402
Brazil,16238.506
British Virgin Islands,5.499
Brunei,360.375
Bulgaria,3831.21
Burkina Faso,64.321
Burundi,13.057
Cambodia,158.244
Cameroon,215.092
Canada,33576.743
Cape Verde,13.287
Central African Republic,10.544
Chad,26.058
Chile,2903.063
China,235564.013
Colombia,3399.103
Comoros,5.302
Congo,78.481
Cook Islands,2.196
Costa Rica,255.062
Cote d'Ivoire,333.932
Croatia,1078.544
Cuba,1614.249
Curacao,559.293
Cyprus,293.026
Czechia,11917.74
Democratic Republic of Congo,193.184
Denmark,4082.633
Djibouti,18.91
Dominica,4.807
Dominican Republic,747.717
Ecuador,1197.709
Egypt,6314.498
El Salvador,231.87
Equatorial Guinea,179.476
Eritrea,17.899
Estonia,1630.194
Eswatini,40.69
Ethiopia,258.571
Faeroe Islands,30.637
Fiji,49.429
Finland,3191.081
France,38728.681
French Guiana,27.49
French Polynesia,28.784
Gabon,258.407
Gambia,13.966
Georgia,659.381
Germany,92635.615
Ghana,371.319
Greece,4073.671
Greenland,33.05
Grenada,8.263
Guadeloupe,83.818
Guatemala,444.931
Guinea,86.235
Guinea-Bissau,10.094
Guyana,100.59
Haiti,76.215
Honduras,256.321
Hong Kong,1620.288
Hungary,5010.79
Iceland,151.824
India,54416.489
Indonesia,14399.96
Iran,18914.439
Iraq,4656.536
Ireland,2224.061
Israel,2379.693
Italy,24739.057
Jamaica,452.856
Japan,65625.167
Jordan,701.302
Kazakhstan,13908.24
Kenya,467.027
Kiribati,2.085
Kosovo,105.637
Kuwait,2877.516
Kyrgyzstan,861.77
Laos,178.015
Latvia,950.275
Lebanon,733.434
Lesotho,63.982
Liberia,52.517
Libya,2136.29
Liechtenstein,6.111
Lithuania,1557.847
Luxembourg,753.686
Madagascar,96.77
Malawi,50.701
Malaysia,6071.964
Maldives,24.911
Mali,63.319
Malta,104.591
Marshall Islands,3.417
Martinique,88.274
Mauritania,75.633
Mauritius,115.757
Mayotte,6.517
Mexico,20075.006
Moldova,1379.219
Mongolia,787.437
Montenegro,103.621
Montserrat,1.618
Morocco,1737.595
Mozambique,177.092
Myanmar,611.491
Namibia,76.039
Nauru,4.858
Nepal,165.884
Netherlands,11739.972
New Caledonia,157.007
New Zealand,1886.569
Nicaragua,177.397
Niger,46.523
Nigeria,3914.991
Niue,0.29
North Korea,5049.468
North Macedonia,636.096
Norway,2632.394
Oman,1251.111
Pakistan,5162.289
Palau,10.562
Palestine,59.438
Panama,309.251
Papua New Guinea,169.499
Paraguay,177.914
Peru,1941.85
Philippines,3390.274
Poland,27863.876
Portugal,2614.595
Qatar,2094.572
Romania,8493.294
Russia,115344.15
Rwanda,28.684
Saint Helena,0.379
Saint Kitts and Nevis,6.34
Saint Lucia,14.366
Saint Pierre and Miquelon,3.677
Saint Vincent and the Grenadines,6.967
Samoa,6.782
Sao Tome and Principe,3.361
Saudi Arabia,15936.377
Senegal,243.299
Serbia,2734.456
Seychelles,13.38
Sierra Leone,36.096
Singapore,2157.028
Sint Maarten (Dutch part),67.704
Slovakia,3869.881
Slovenia,851.1
Solomon Islands,10.435
Somalia,32.89
South Africa,21164.298
South Korea,18335.707
South Sudan,38.352
Spain,14853.333
Sri Lanka,500.281
Sudan,446.154
Suriname,115.203
Sweden,4987.956
Switzerland,3022.785
Syria,1867.934
Taiwan,9046.736
Tajikistan,489.614
Tanzania,243.841
Thailand,7364.298
Timor,6.543
Togo,66.128
Tonga,4.384
Trinidad and Tobago,1569.561
Tunisia,901.512
Turkey,10839.788
Turkmenistan,2434.766
Turks and Caicos Islands,3.931
Tuvalu,0.279
Uganda,105.595
Ukraine,30559.156
United Arab Emirates,4695.477
United Kingdom,78161.146
United States,416723.089
Uruguay,371.229
Uzbekistan,6310.349
Vanuatu,4.752
Venezuela,7854.692
Vietnam,3977.272
World,1696524.177
Yemen,624.654
Zambia,247.988
Zimbabwe,779.383
