iso_code,country,continent,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
NOR,Norway,Europe,2020,0,,-2.455,-28.055,17.094,156.147,8.533,42.145,0.166,46.115,,,,,,,0.027,-0.045,1.692,-0.004,9.07,7.378,1673.142,,,130.23,0.25,0.04,2.07,1.14,138.68,0,0.89,0.11,0.36,148.63,0.01,9.58,150.7,,98879.418,-3.919,29.34,-6.415,157.278,29011.386,381.831,1.374,,0.756,-2.92,8.268,-1.333,44.32,210.284,8175.174,1114.543,205588.052,92.024,12.232,64.881,37.907,347.796,25580.854,64154.278,98.626,148.63,27416.227,15.013,69.615,48.71,373.171,68834.914,-15.718,-20.47,0,,0,0,0,0,0,0.591,-4.66,19.38,-5.078,103.888,164.169,19163.07,1069.629,197303.349,20.291,66.405,2.285,0.12,0.014,0.641,0.073,0.239,118.204,27798.058,5421242,536.049,27416.227,98.626,15.013,69.615,48.71,373.171,68834.914,0.007,25.952,0.062,0.069,0.333,1.845,61.442,6.357,78.355,4.552,10.72,24.401,1767.123,4500.989
CHN,China,Asia,2020,1.447,320.641,9.267,164.544,1.966,43.671,2.413,952.018,1.7,90.07,-7.873,0.086,-2.977,34.836,24.203,,60.748,0.589,56.56,133.743,22852.906,3217.632,15877.543,22475.08,15615.027,7611.836,129.64,4631.215,5044.957,253.425,1355.2,366.2,160.317,0.1,129.74,2212.54,261.1,466.5,7623.696,,28071.824,1.527,84.335,512.498,34075.189,23674.443,3505.088,66.175,,3.324,7.2,8.182,222.032,3305.8,176.072,2296.775,1940.143,1347.954,17.776,3.506,8.072,110.476,3261.558,941.553,2266.035,33.825,2578.74,1791.633,7.462,15.665,439.521,6329.287,4397.403,-0.156,-11.86,4.803,4.633,2.236,40.003,903.46,254.425,627.698,2.103,2.02,19.593,156.723,7916.455,111.384,5500.126,2265.163,1573.769,0.069,90.139,19.785,0.828,55.226,334.355,0.001,1.702,232.3,5296.721,1439323776,40404.443,1537.208,29.022,7.949,13.429,399.519,5425.827,3769.705,3.425,16.134,1.594,89.493,644.166,181.405,447.547,6.119,14.677,2.848,147.301,1150.912,324.111,799.62
IRN,Iran,Asia,2020,0,,3.879,93.647,-9.526,-174.78,0.474,15.768,0.007,0.286,,,,,,,0.178,0,0.618,0,20.667,7.114,246.054,,,332.053,0.024,0.597,307.5,213.159,21.952,5.866,93.744,0,0.024,22.618,0.244,0.398,335.984,,39785.35,1.095,97.898,35.431,3271.443,38949.022,3661.026,91.522,,63.443,4.322,69.756,96.567,2331.021,2537.825,27752.604,2507.862,29858.009,6.534,-27.17,1.563,-19.486,52.233,261.355,621.87,8.478,28.484,339.124,-21.869,2.102,-19.663,70.248,836.36,-1.184,-3.931,1.746,-1.654,0.467,-0.263,15.612,69.839,185.868,27.901,-6.233,27.524,-61.136,919.753,1116.088,10950.364,1660.025,19763.859,0,0.286,-0.367,0.002,0,0.06,0,0.007,0.718,4000.15,83992952,3341.689,269.285,6.732,-26.203,1.635,-19.4,54.637,650.492,0.073,12.362,0.024,0.087,0.791,2.905,9.418,0.118,-0.044,0.046,-0.001,1.553,4.738,18.486
MLT,Malta,Europe,2020,,,,,,,0,,0.472,22.648,,,,,,363,0,,,,,0,,,,2.54,0.01,0,1.9,1.84,0,0,0.06,0,0.01,0.22,0.21,0,2.12,,0,,,,,,4303.131,89.623,,86.792,,,,,4167.242,,,,0,,,,,0,,10.377,0.22,498.257,,,,,,16.535,0.42,0,,,,,0,,2.83,,,,,135.888,,,,0,22.648,,,,,0,0.472,,4801.388,441539,,498.257,10.377,,,,,,9.906,,,,,475.609,,0,,,,,0,
BIH,Bosnia and Herzegovina,Europe,2020,,,,,,,0,,0.059,3.048,,,,,,,69.045,,,,,3569.235,,,,12.91,0.01,11.71,11.78,0.02,4.91,0,0.05,0,0.01,5.18,0.03,0.23,16.96,,0,,,,,,3590.571,69.458,,0.118,,,,,6.096,,,,28.95,,,,,1496.579,,30.542,5.18,1578.876,,,,,,-31.371,-4.05,0,,,,,0,,0.295,,,,,15.24,,,,0,3.048,,,,,0,0.059,,5169.447,3280815,,1578.876,30.542,,,,,,0.177,,,,,9.144,,1.356,,,,,70.105,
SRB,Serbia,Europe,2020,2.028,1.625,0,,0,,0,,0.426,18.312,,,,,,,71.349,,,,,3063.851,,81.712,9352.018,36.58,0.16,26.77,27.44,0.67,9.01,0,0,0,0.16,10.08,0.01,0.9,37.52,,0,,,,,,3140.533,73.134,,1.786,,,,,76.682,,,,24.014,,,,,1031.203,,26.866,10.08,1153.665,,,,,,-2.57,-0.94,0,,,,,0,,0,,,,,0,,,,0,18.312,,,,,0,0.426,,4294.198,8737370,,1153.665,26.866,,,,,,0.027,,,,,1.145,,2.399,,,,,103.006,
MNE,Montenegro,Europe,2020,,,,,,,0,,0,0,,,,,,,49.226,,,,,2531.597,,,,3.4,0,1.59,1.59,0,1.34,0,0,0,0,1.64,0,0.3,3.23,,0,,,,,,2531.597,49.226,,0,,,,,0,,,,41.486,,,,,2133.547,,50.774,1.64,2611.207,,,,,,5,0.17,0,,,,,0,,0,,,,,0,,,,0,0,,,,,0,0,,5142.804,628062,,2611.207,50.774,,,,,,0,,,,,0,,9.288,,,,,477.66,
MNG,Mongolia,Asia,2020,-24.593,-74.345,,,0,,0,,0,0,,,,,,,92.304,,,,,1860.727,,227.961,69536.386,8.335,0,6.1,6.1,0,0.093,0,0,0,0,0.509,0.04,0.376,6.609,,0,,,,,,1860.727,92.304,,0,,,,,0,,,,1.403,,,,,28.286,,7.696,0.509,155.151,,,,,,20.715,1.727,0,,,,,0,,0,,,,,0,,,,0,0,,,,,0,0,,2015.878,3278292,,155.151,7.696,,,,,,0.605,,,,,12.201,,5.688,,,,,114.663,
TUN,Tunisia,Africa,2020,,,0,,-16.276,-3.738,0,,0,0,,,,,,,0,,,,,0,,,,19.344,0,0,18.708,18.708,0.065,0,0,0,0,0.739,0.174,0.5,19.447,,0,,,,,,1582.922,96.198,,96.198,,,,,1582.922,,,,0.336,,,,,5.529,,3.802,0.739,62.557,,,,,,-0.536,-0.104,0,,,,,0,,0,,,,,0,,19.228,1626.914,0,0,,,,,0,0,,1645.479,11818618,,62.557,3.802,,,,,,0.895,,,,,14.723,,2.571,,,,,42.306,
BOL,Bolivia,South America,2020,,,-3.617,-5.407,0,,0,,2.855,23.045,,,,,,,0,,,,,0,,,,9.421,0.269,0,5.921,5.921,2.915,0,0,0,0.269,3.5,0.252,0.064,9.421,,0,,,,,,507.235,62.85,,62.85,,,,,507.235,,144.097,12344.399,30.942,,,,,249.722,,37.15,3.5,299.821,,,,,,0,0,0,,,,,0,,0,,,,,0,,,,0,23.045,,,,,0,2.855,,807.056,11673029,,299.821,37.15,,,,,,2.673,,,,,21.573,,0.679,,,,,5.482,
