location,code,year,female_population
Afghanistan,AFG,2020,48.6845201
Albania,ALB,2020,49.10299534
Algeria,DZA,2020,49.47940463
Angola,AGO,2020,50.52413618
Antigua and Barbuda,ATG,2020,51.73086349
Argentina,ARG,2020,51.21414552
Armenia,ARM,2020,52.96534125
Aruba,ABW,2020,52.5672967
Australia,AUS,2020,50.20123819
Austria,AUT,2020,50.70515411
Azerbaijan,AZE,2020,50.04855918
Bahamas,BHS,2020,51.40649158
Bahrain,BHR,2020,35.32645777
Bangladesh,BGD,2020,49.44476293
Barbados,BRB,2020,51.60124021
Belarus,BLR,2020,53.44250661
Belgium,BEL,2020,50.43550192
Belize,BLZ,2020,50.26394481
Benin,BEN,2020,50.06063582
Bhutan,BTN,2020,46.8532112
Bolivia,BOL,2020,49.81577618
Bosnia and Herzegovina,BIH,2020,51.0301861
Botswana,BWA,2020,51.56119704
Brazil,BRA,2020,50.86748524
Brunei,BRN,2020,48.11524105
Bulgaria,BGR,2020,51.44063168
Burkina Faso,BFA,2020,50.03313356
Burundi,BDI,2020,50.38287224
Cambodia,KHM,2020,51.17867003
Cameroon,CMR,2020,49.98439305
Canada,CAN,2020,50.36802481
Cape Verde,CPV,2020,49.79801722
Central African Republic,CAF,2020,50.43149106
Chad,TCD,2020,50.07767935
Channel Islands,OWID_CIS,2020,50.49436612
Chile,CHL,2020,50.69279165
China,CHN,2020,48.70873716
Colombia,COL,2020,50.89790115
Comoros,COM,2020,49.55663269
Congo,COG,2020,50.04291338
Costa Rica,CRI,2020,50.03888802
Cote d'Ivoire,CIV,2020,49.57827985
Croatia,HRV,2020,51.78653379
Cuba,CUB,2020,50.35173789
Curacao,CUW,2020,54.01035954
Cyprus,CYP,2020,50.01379041
Czechia,CZE,2020,50.76542289
Democratic Republic of Congo,COD,2020,50.07875044
Denmark,DNK,2020,50.28901784
Djibouti,DJI,2020,47.47045046
Dominican Republic,DOM,2020,50.05296876
Ecuador,ECU,2020,49.98698072
Egypt,EGY,2020,49.47655873
El Salvador,SLV,2020,53.18640295
Equatorial Guinea,GNQ,2020,44.37716725
Estonia,EST,2020,52.62438571
Eswatini,SWZ,2020,50.84867312
Ethiopia,ETH,2020,49.96951774
Fiji,FJI,2020,49.35344539
Finland,FIN,2020,50.68498343
Fragile and conflict affected situations,,2020,49.97483325
France,FRA,2020,51.60487917
French Polynesia,PYF,2020,49.35600775
Gabon,GAB,2020,49.10186689
Gambia,GMB,2020,50.40518665
Georgia,GEO,2020,52.34034606
