iso_code,country,year,co2,co2_per_capita,co2_growth_prct,share_global_co2
AFG,Afghanistan,2020,12.16,0.312,0.11,0.03
,Africa,2020,1326.044,0.99,-5.85,3.81
ALB,Albania,2020,4.535,1.576,-6.76,0.01
DZA,Algeria,2020,154.995,3.535,-6.99,0.45
AND,Andorra,2020,0.466,6.035,-7.08,0
AGO,Angola,2020,22.198,0.675,-5.49,0.06
AIA,Anguilla,2020,0.123,8.227,-11.51,0
ATG,Antigua and Barbuda,2020,0.43,4.395,-11.51,0
ARG,Argentina,2020,156.978,3.473,-6.32,0.45
ARM,Armenia,2020,5.89,1.988,6.54,0.02
ABW,Aruba,2020,0.753,7.055,-11.51,0
AUS,Australia,2020,391.892,15.368,-5.46,1.13
AUT,Austria,2020,60.635,6.732,-10.78,0.17
AZE,Azerbaijan,2020,37.72,3.72,-2.59,0.11
BHS,Bahamas,2020,2.338,5.945,-11.38,0.01
BHR,Bahrain,2020,34.96,20.546,1.51,0.1
BGD,Bangladesh,2020,92.842,0.564,-1.46,0.27
BRB,Barbados,2020,1.087,3.782,-10.58,0
BLR,Belarus,2020,57.445,6.079,-5.86,0.17
BEL,Belgium,2020,83.749,7.226,-16.04,0.24
BLZ,Belize,2020,0.583,1.466,-11.48,0
BEN,Benin,2020,6.703,0.553,-8.37,0.02
BMU,Bermuda,2020,0.624,10.028,-10.54,0
BTN,Bhutan,2020,1.925,2.495,-0.11,0.01
BOL,Bolivia,2020,20.7,1.773,-13.2,0.06
BES,Bonaire Sint Eustatius and Saba,2020,0.301,11.466,-11.51,0
BIH,Bosnia and Herzegovina,2020,21.418,6.528,-13.8,0.06
BWA,Botswana,2020,6.519,2.772,-5.86,0.02
BRA,Brazil,2020,467.384,2.199,-3.79,1.34
VGB,British Virgin Islands,2020,0.139,4.605,-11.51,0
BRN,Brunei,2020,10.158,23.22,2.01,0.03
BGR,Bulgaria,2020,37.444,5.389,-11.32,0.11
BFA,Burkina Faso,2020,3.97,0.19,-8.45,0.01
BDI,Burundi,2020,0.602,0.051,-14.47,0
KHM,Cambodia,2020,15.326,0.917,-0.02,0.04
CMR,Cameroon,2020,6.889,0.26,-6.88,0.02
CAN,Canada,2020,535.823,14.197,-8,1.54
CPV,Cape Verde,2020,0.55,0.989,-8.69,0
CAF,Central African Republic,2020,0.188,0.039,-10.71,0
TCD,Chad,2020,0.912,0.056,-9.26,0
CHL,Chile,2020,81.171,4.246,-5.76,0.23
CHN,China,2020,10667.887,7.412,1.7,30.65
CXR,Christmas Island,2020,,,0,
COL,Colombia,2020,89.105,1.751,-1.45,0.26
COM,Comoros,2020,0.258,0.297,-15.49,0
COG,Congo,2020,3.117,0.565,-5.3,0.01
COK,Cook Islands,2020,0.079,4.522,0.14,0
CRI,Costa Rica,2020,7.907,1.552,-10.33,0.02
CIV,Cote d'Ivoire,2020,10.071,0.382,-3.9,0.03
HRV,Croatia,2020,16.982,4.137,-4.48,0.05
CUB,Cuba,2020,20.152,1.779,-10.53,0.06
CUW,Curacao,2020,3.335,20.323,-11.33,0.01
CYP,Cyprus,2020,6.496,5.38,-11.5,0.02
CZE,Czechia,2020,87.975,8.215,-12.73,0.25
COD,Democratic Republic of Congo,2020,2.477,0.028,-7.86,0.01
DNK,Denmark,2020,26.195,4.522,-15.22,0.08
DJI,Djibouti,2020,0.351,0.356,-12.66,0
DMA,Dominica,2020,0.139,1.934,-11.51,0
DOM,Dominican Republic,2020,27.769,2.56,0.91,0.08
ECU,Ecuador,2020,30.932,1.753,-15.85,0.09
EGY,Egypt,2020,213.457,2.086,-5.5,0.61
SLV,El Salvador,2020,6.124,0.944,-10.64,0.02
GNQ,Equatorial Guinea,2020,10.265,7.317,-0.04,0.03
ERI,Eritrea,2020,0.722,0.204,-13.48,0
EST,Estonia,2020,10.452,7.88,-15.57,0.03
SWZ,Eswatini,2020,0.956,0.824,-5.64,0
ETH,Ethiopia,2020,14.665,0.128,-10.42,0.04
FRO,Faeroe Islands,2020,0.684,13.996,-7.08,0
FJI,Fiji,2020,1.393,1.554,0.13,0
FIN,Finland,2020,39.288,7.091,-7.66,0.11
FRA,France,2020,276.634,4.238,-12.44,0.79
GUF,French Guiana,2020,0.728,2.439,0,0
PYF,French Polynesia,2020,0.828,2.949,0.14,0
GAB,Gabon,2020,4.298,1.931,-4.22,0.01
GMB,Gambia,2020,0.5,0.207,-8.6,0
GEO,Georgia,2020,9.968,2.499,-4.89,0.03
DEU,Germany,2020,644.31,7.69,-9.43,1.85
GHA,Ghana,2020,16.001,0.515,-5.42,0.05
GRC,Greece,2020,52.235,5.012,-20.54,0.15
GRL,Greenland,2020,0.514,9.061,-7.08,0
GRD,Grenada,2020,0.295,2.62,-11.27,0
GLP,Guadeloupe,2020,2.562,6.403,0,0.01
GTM,Guatemala,2020,18.938,1.057,-13.66,0.05
GIN,Guinea,2020,3.394,0.258,-8.69,0.01
GNB,Guinea-Bissau,2020,0.287,0.146,-8.69,0
GUY,Guyana,2020,2.213,2.813,-11.01,0.01
HTI,Haiti,2020,2.92,0.256,-11.23,0.01
HND,Honduras,2020,9.66,0.975,-10.47,0.03
HKG,Hong Kong,2020,31.239,4.167,-25.25,0.09
HUN,Hungary,2020,48.275,4.997,-1.64,0.14
ISL,Iceland,2020,2.936,8.604,-17.31,0.01
IND,India,2020,2441.792,1.769,-7.01,7.02
IDN,Indonesia,2020,589.5,2.155,-10.76,1.69
IRN,Iran,2020,745.035,8.87,1.59,2.14
IRQ,Iraq,2020,210.829,5.242,-5.45,0.61
IRL,Ireland,2020,33.349,6.754,-10.53,0.1
ISR,Israel,2020,56.351,6.51,-9.68,0.16
ITA,Italy,2020,303.815,5.025,-10.58,0.87
JAM,Jamaica,2020,7.429,2.509,-7.65,0.02
JPN,Japan,2020,1030.775,8.15,-6.8,2.96
JOR,Jordan,2020,25.487,2.498,-1,0.07
KAZ,Kazakhstan,2020,291.336,15.516,-1.53,0.84
KEN,Kenya,2020,16.146,0.3,-12,0.05
KIR,Kiribati,2020,0.068,0.57,0.14,0
OWID_KOS,Kosovo,2020,7.89,,-13.29,0.02
KWT,Kuwait,2020,88.935,20.825,-7.98,0.26
KGZ,Kyrgyzstan,2020,11.508,1.764,4.45,0.03
LAO,Laos,2020,33.847,4.652,-0.25,0.1
LVA,Latvia,2020,6.773,3.591,-11.45,0.02
LBN,Lebanon,2020,25.969,3.805,-2.58,0.07
LSO,Lesotho,2020,2.183,1.019,-5.93,0.01
LBR,Liberia,2020,1.009,0.2,-7.72,0
LBY,Libya,2020,50.721,7.382,-6.95,0.15
LIE,Liechtenstein,2020,0.141,3.698,-4.98,0
LTU,Lithuania,2020,13.799,5.069,-0.89,0.04
LUX,Luxembourg,2020,8.175,13.059,-16.18,0.02
,Macao,2020,1.263,1.945,0.52,0
MDG,Madagascar,2020,3.68,0.133,-9.14,0.01
MWI,Malawi,2020,1.395,0.073,-12.18,0
MYS,Malaysia,2020,272.607,8.423,-2.17,0.78
MDV,Maldives,2020,1.796,3.324,0.14,0.01
MLI,Mali,2020,3.39,0.167,-8.08,0.01
MLT,Malta,2020,1.595,3.612,-4.45,0
MHL,Marshall Islands,2020,0.151,2.556,0.14,0
MTQ,Martinique,2020,2.348,6.258,0,0.01
MRT,Mauritania,2020,3.377,0.726,-8.69,0.01
MUS,Mauritius,2020,3.979,3.129,-9.11,0.01
MYT,Mayotte,2020,0.306,1.12,0,0
MEX,Mexico,2020,356.968,2.769,-18.03,1.03
MDA,Moldova,2020,5.147,1.276,-0.18,0.01
MNG,Mongolia,2020,88.442,26.978,-0.28,0.25
MNE,Montenegro,2020,2.31,3.678,-12.67,0.01
MSR,Montserrat,2020,0.025,5.065,-11.51,0
MAR,Morocco,2020,64.536,1.748,-5.4,0.19
MOZ,Mozambique,2020,6.571,0.21,-9.83,0.02
MMR,Myanmar,2020,36.326,0.668,0.77,0.1
NAM,Namibia,2020,3.877,1.526,-5.02,0.01
NRU,Nauru,2020,0.057,5.236,0.14,0
NPL,Nepal,2020,16.958,0.582,-0.05,0.05
NLD,Netherlands,2020,138.1,8.06,-10.09,0.4
NCL,New Caledonia,2020,8.693,30.448,-0.16,0.02
NZL,New Zealand,2020,33.475,6.942,-10.72,0.1
NIC,Nicaragua,2020,5.074,0.766,-10.57,0.01
NER,Niger,2020,1.69,0.07,-8.79,0
NGA,Nigeria,2020,125.463,0.609,-3.57,0.36
NIU,Niue,2020,0.011,7.012,0.14,0
PRK,North Korea,2020,29.311,1.137,-0.23,0.08
MKD,North Macedonia,2020,7.147,3.43,-10.38,0.02
NOR,Norway,2020,41.283,7.615,-3.69,0.12
OMN,Oman,2020,62.163,12.173,2.31,0.18
PAK,Pakistan,2020,234.755,1.063,0.2,0.67
PLW,Palau,2020,0.219,12.125,0.14,0
PSE,Palestine,2020,2.899,0.568,-2.92,0.01
PAN,Panama,2020,10.78,2.498,-12.32,0.03
PNG,Papua New Guinea,2020,6.652,0.744,0.52,0.02
PRY,Paraguay,2020,7.57,1.061,-11.2,0.02
PER,Peru,2020,44.706,1.356,-18.68,0.13
PHL,Philippines,2020,136.018,1.241,-7.23,0.39
POL,Poland,2020,299.593,7.916,-6.24,0.86
PRT,Portugal,2020,40.388,3.961,-15.2,0.12
QAT,Qatar,2020,106.655,37.019,-7.29,0.31
ROU,Romania,2020,71.475,3.715,-4.5,0.21
RUS,Russia,2020,1577.136,10.807,-6.09,4.53
RWA,Rwanda,2020,1.033,0.08,-13.03,0
SHN,Saint Helena,2020,0.009,1.564,-11.51,0
KNA,Saint Kitts and Nevis,2020,0.212,3.986,-11.51,0
LCA,Saint Lucia,2020,0.44,2.396,-11.51,0
SPM,Saint Pierre and Miquelon,2020,0.051,8.738,-11.51,0
VCT,Saint Vincent and the Grenadines,2020,0.209,1.883,-11.51,0
WSM,Samoa,2020,0.246,1.239,0.14,0
STP,Sao Tome and Principe,2020,0.113,0.514,-10.71,0
SAU,Saudi Arabia,2020,625.508,17.967,0.5,1.8
SEN,Senegal,2020,10.451,0.624,-7.23,0.03
SRB,Serbia,2020,43.135,4.937,-12.57,0.12
SYC,Seychelles,2020,0.491,4.994,-15.49,0
SLE,Sierra Leone,2020,0.877,0.11,-8.69,0
SGP,Singapore,2020,45.504,7.778,-0.44,0.13
SXM,Sint Maarten (Dutch part),2020,0.623,14.539,-11.51,0
SVK,Slovakia,2020,30.73,5.629,-9.01,0.09
SVN,Slovenia,2020,12.563,6.043,-10.3,0.04
